Fecha;Hora;Lectura Barométrica Actual F(Digits);Temperatura Actual T(°C);Presión Calculada P(kPa);Presión Calculada P(kPa) Corrgida;Presión Calculada (mca);Columna1;Elevación Piezométrica (msnm);Elevación Piezométrica (msnm) Corregida;Columna2
10/1/2023;1:30:00;5658,5;21,7;183,22;;18,68;18,68;807,68;;
10/1/2023;1:30:01;5658,5;21,7;183,22;;18,68;18,68;807,68;;
10/1/2023;2:30:00;5658,6;21,7;183,1;;18,67;18,67;807,67;;
10/1/2023;2:30:01;5658,6;21,7;183,1;;18,67;18,67;807,67;;
10/1/2023;3:30:00;5658,5;21,8;183,61;;18,72;18,72;807,72;;
10/1/2023;3:30:01;5658,5;21,8;183,61;;18,72;18,72;807,72;;
10/1/2023;4:30:00;5658,5;21,7;183,22;;18,68;18,68;807,68;;
10/1/2023;4:30:01;5658,5;21,7;183,22;;18,68;18,68;807,68;;
10/1/2023;5:30:00;5658,5;21,7;183,22;;18,68;18,68;807,68;;
10/1/2023;5:30:01;5658,5;21,7;183,22;;18,68;18,68;807,68;;
10/1/2023;6:30:00;5658,6;21,7;183,1;;18,67;18,67;807,67;;
10/1/2023;6:30:01;5658,6;21,7;183,1;;18,67;18,67;807,67;;
10/1/2023;7:30:00;5658,4;21,7;183,33;;18,7;18,7;807,7;;
10/1/2023;8:30:00;5658,3;21,7;183,45;;18,71;18,71;807,71;;
10/1/2023;11:30:00;5658,6;21,7;183,1;;18,67;18,67;807,67;;
10/1/2023;12:30:00;5658,7;21,7;182,98;;18,66;18,66;807,66;;
10/1/2023;13:30:00;5658,6;21,7;183,1;;18,67;18,67;807,67;;
10/1/2023;14:30:00;5658,8;21,7;182,87;;18,65;18,65;807,65;;
10/1/2023;14:30:01;5658,8;21,7;182,87;;18,65;18,65;807,65;;
10/1/2023;15:30:00;5659,1;21,7;182,52;;18,61;18,61;807,61;;
10/1/2023;16:30:00;5659,4;21,7;182,17;;18,58;18,58;807,58;;
10/1/2023;17:30:00;5659;21,7;182,64;;18,62;18,62;807,62;;
10/1/2023;18:30:00;5658,6;21,7;183,1;;18,67;18,67;807,67;;
10/1/2023;19:30:00;5659;21,7;182,64;;18,62;18,62;807,62;;
10/1/2023;19:30:01;5659;21,7;182,64;;18,62;18,62;807,62;;
10/1/2023;20:30:00;5658,5;21,8;183,61;;18,72;18,72;807,72;;
10/1/2023;21:30:00;5658,6;21,7;183,1;;18,67;18,67;807,67;;
10/1/2023;21:30:01;5658,6;21,7;183,1;;18,67;18,67;807,67;;
10/1/2023;22:30:00;5658,8;21,7;182,87;;18,65;18,65;807,65;;
10/1/2023;22:30:01;5658,8;21,7;182,87;;18,65;18,65;807,65;;
10/1/2023;23:30:00;5658,7;21,7;182,98;;18,66;18,66;807,66;;
10/1/2023;23:30:01;5658,7;21,7;182,98;;18,66;18,66;807,66;;
11/1/2023;0:30:00;5658,9;21,8;183,15;;18,68;18,68;807,68;;
11/1/2023;1:30:00;5658,7;21,7;182,98;;18,66;18,66;807,66;;
11/1/2023;2:30:00;5658,5;21,8;183,61;;18,72;18,72;807,72;;
11/1/2023;3:30:00;5658,9;21,7;182,75;;18,64;18,64;807,64;;
11/1/2023;4:30:00;5658,7;21,8;183,38;;18,7;18,7;807,7;;
11/1/2023;5:30:00;5658,5;21,7;183,22;;18,68;18,68;807,68;;
11/1/2023;5:30:01;5658,5;21,7;183,22;;18,68;18,68;807,68;;
11/1/2023;6:30:00;5658,5;21,7;183,22;;18,68;18,68;807,68;;
11/1/2023;7:30:00;5658,4;21,8;183,73;;18,74;18,74;807,74;;
11/1/2023;7:30:01;5658,4;21,8;183,73;;18,74;18,74;807,74;;
11/1/2023;8:30:00;5658,6;21,8;183,5;;18,71;18,71;807,71;;
11/1/2023;8:30:01;5658,6;21,8;183,5;;18,71;18,71;807,71;;
11/1/2023;9:30:00;5658,3;21,7;183,45;;18,71;18,71;807,71;;
11/1/2023;9:30:01;5658,3;21,7;183,45;;18,71;18,71;807,71;;
11/1/2023;10:30:00;5658,6;21,7;183,1;;18,67;18,67;807,67;;
11/1/2023;11:30:00;5658,8;21,8;183,27;;18,69;18,69;807,69;;
11/1/2023;12:30:00;5659,1;21,7;182,52;;18,61;18,61;807,61;;
11/1/2023;13:30:00;5659,1;21,8;182,92;;18,65;18,65;807,65;;
11/1/2023;14:30:00;5659,1;21,7;182,52;;18,61;18,61;807,61;;
11/1/2023;14:30:01;5659,1;21,7;182,52;;18,61;18,61;807,61;;
11/1/2023;15:30:00;5659;21,7;182,64;;18,62;18,62;807,62;;
11/1/2023;15:30:01;5659;21,7;182,64;;18,62;18,62;807,62;;
11/1/2023;16:30:00;5659,3;21,7;182,29;;18,59;18,59;807,59;;
11/1/2023;16:30:01;5659,3;21,7;182,29;;18,59;18,59;807,59;;
11/1/2023;17:30:00;5659,1;21,7;182,52;;18,61;18,61;807,61;;
11/1/2023;18:30:00;5658,9;21,7;182,75;;18,64;18,64;807,64;;
11/1/2023;19:30:00;5659;21,8;183,03;;18,66;18,66;807,66;;
11/1/2023;20:30:00;5658,8;21,8;183,27;;18,69;18,69;807,69;;
11/1/2023;21:30:00;5658,7;21,8;183,38;;18,7;18,7;807,7;;
11/1/2023;22:30:00;5659;21,7;182,64;;18,62;18,62;807,62;;
11/1/2023;23:30:00;5658,7;21,7;182,98;;18,66;18,66;807,66;;
11/1/2023;23:30:01;5658,7;21,7;182,98;;18,66;18,66;807,66;;
12/1/2023;0:30:00;5658,9;21,7;182,75;;18,64;18,64;807,64;;
12/1/2023;0:30:01;5658,9;21,7;182,75;;18,64;18,64;807,64;;
12/1/2023;1:30:00;5658,9;21,7;182,75;;18,64;18,64;807,64;;
12/1/2023;2:30:00;5659;21,7;182,64;;18,62;18,62;807,62;;
12/1/2023;3:30:00;5659,1;21,7;182,52;;18,61;18,61;807,61;;
12/1/2023;4:30:00;5659,3;21,7;182,29;;18,59;18,59;807,59;;
12/1/2023;4:30:01;5659,3;21,7;182,29;;18,59;18,59;807,59;;
12/1/2023;5:30:00;5658,8;21,7;182,87;;18,65;18,65;807,65;;
12/1/2023;6:30:00;5659,1;21,8;182,92;;18,65;18,65;807,65;;
12/1/2023;7:30:00;5658,9;21,8;183,15;;18,68;18,68;807,68;;
12/1/2023;8:30:00;5659;21,7;182,64;;18,62;18,62;807,62;;
12/1/2023;9:30:00;5659;21,8;183,03;;18,66;18,66;807,66;;
12/1/2023;9:30:01;5659;21,8;183,03;;18,66;18,66;807,66;;
12/1/2023;10:30:00;5659,3;21,7;182,29;;18,59;18,59;807,59;;
12/1/2023;10:30:01;5659,3;21,7;182,29;;18,59;18,59;807,59;;
12/1/2023;11:30:00;5658,9;21,7;182,75;;18,64;18,64;807,64;;
12/1/2023;12:30:00;5659;21,7;182,64;;18,62;18,62;807,62;;
12/1/2023;13:30:00;5659,1;21,7;182,52;;18,61;18,61;807,61;;
12/1/2023;13:30:01;5659,1;21,7;182,52;;18,61;18,61;807,61;;
12/1/2023;14:30:00;5659,6;21,7;181,94;;18,55;18,55;807,55;;
12/1/2023;15:30:00;5659,4;21,7;182,17;;18,58;18,58;807,58;;
12/1/2023;15:30:01;5659,4;21,7;182,17;;18,58;18,58;807,58;;
12/1/2023;16:30:00;5659,6;21,7;181,94;;18,55;18,55;807,55;;
12/1/2023;16:30:01;5659,6;21,7;181,94;;18,55;18,55;807,55;;
12/1/2023;17:30:00;5659,6;21,7;181,94;;18,55;18,55;807,55;;
12/1/2023;17:30:01;5659,6;21,7;181,94;;18,55;18,55;807,55;;
12/1/2023;18:30:00;5659,2;21,7;182,4;;18,6;18,6;807,6;;
12/1/2023;19:30:00;5659,3;21,8;182,69;;18,63;18,63;807,63;;
12/1/2023;19:30:01;5659,3;21,8;182,69;;18,63;18,63;807,63;;
12/1/2023;20:30:00;5659,2;21,7;182,4;;18,6;18,6;807,6;;
12/1/2023;21:30:00;5659,2;21,7;182,4;;18,6;18,6;807,6;;
12/1/2023;22:30:00;5659,1;21,8;182,92;;18,65;18,65;807,65;;
12/1/2023;23:30:00;5659,3;21,8;182,69;;18,63;18,63;807,63;;
12/1/2023;23:30:01;5659,3;21,8;182,69;;18,63;18,63;807,63;;
13/1/2023;0:30:00;5659,5;21,8;182,45;;18,61;18,61;807,61;;
13/1/2023;1:30:00;5659,5;21,7;182,06;;18,56;18,56;807,56;;
13/1/2023;1:30:01;5659,5;21,7;182,06;;18,56;18,56;807,56;;
13/1/2023;2:30:00;5659,5;21,8;182,45;;18,61;18,61;807,61;;
13/1/2023;3:30:00;5659,3;21,8;182,69;;18,63;18,63;807,63;;
13/1/2023;3:30:01;5659,3;21,8;182,69;;18,63;18,63;807,63;;
13/1/2023;4:30:00;5659,5;21,8;182,45;;18,61;18,61;807,61;;
13/1/2023;4:30:01;5659,5;21,8;182,45;;18,61;18,61;807,61;;
13/1/2023;5:30:00;5659,5;21,8;182,45;;18,61;18,61;807,61;;
13/1/2023;6:30:00;5659,4;21,7;182,17;;18,58;18,58;807,58;;
13/1/2023;6:30:01;5659,4;21,7;182,17;;18,58;18,58;807,58;;
13/1/2023;7:30:00;5658,9;21,7;182,75;;18,64;18,64;807,64;;
13/1/2023;7:30:01;5658,9;21,7;182,75;;18,64;18,64;807,64;;
13/1/2023;8:30:00;5659,5;21,7;182,06;;18,56;18,56;807,56;;
13/1/2023;8:30:01;5659,5;21,7;182,06;;18,56;18,56;807,56;;
13/1/2023;9:30:00;5659,3;21,7;182,29;;18,59;18,59;807,59;;
13/1/2023;10:30:00;5659,4;21,7;182,17;;18,58;18,58;807,58;;
13/1/2023;11:30:00;5659,5;21,7;182,06;;18,56;18,56;807,56;;
13/1/2023;12:30:00;5659,5;21,8;182,45;;18,61;18,61;807,61;;
13/1/2023;13:30:00;5660,1;21,7;181,36;;18,49;18,49;807,49;;
13/1/2023;14:30:00;5659,8;21,7;181,71;;18,53;18,53;807,53;;
13/1/2023;14:30:01;5659,8;21,7;181,71;;18,53;18,53;807,53;;
13/1/2023;15:30:00;5659,9;21,7;181,59;;18,52;18,52;807,52;;
13/1/2023;15:30:01;5659,9;21,7;181,59;;18,52;18,52;807,52;;
13/1/2023;16:30:00;5659,9;21,7;181,59;;18,52;18,52;807,52;;
13/1/2023;16:30:01;5659,9;21,7;181,59;;18,52;18,52;807,52;;
13/1/2023;17:30:00;5660,1;21,8;181,76;;18,53;18,53;807,53;;
13/1/2023;17:30:01;5660,1;21,8;181,76;;18,53;18,53;807,53;;
13/1/2023;18:30:00;5659,6;21,7;181,94;;18,55;18,55;807,55;;
13/1/2023;19:30:00;5659,9;21,7;181,59;;18,52;18,52;807,52;;
13/1/2023;19:30:01;5659,9;21,7;181,59;;18,52;18,52;807,52;;
13/1/2023;20:30:00;5660,1;21,7;181,36;;18,49;18,49;807,49;;
13/1/2023;21:30:00;5659,5;21,7;182,06;;18,56;18,56;807,56;;
13/1/2023;22:30:00;5659,5;21,7;182,06;;18,56;18,56;807,56;;
13/1/2023;22:30:01;5659,5;21,7;182,06;;18,56;18,56;807,56;;
13/1/2023;23:30:00;5659,6;21,7;181,94;;18,55;18,55;807,55;;
14/1/2023;0:30:00;5659,7;21,8;182,22;;18,58;18,58;807,58;;
14/1/2023;1:30:00;5659,9;21,7;181,59;;18,52;18,52;807,52;;
14/1/2023;2:30:00;5659,8;21,8;182,11;;18,57;18,57;807,57;;
14/1/2023;3:30:00;5660;21,7;181,48;;18,51;18,51;807,51;;
14/1/2023;4:30:00;5660,1;21,8;181,76;;18,53;18,53;807,53;;
14/1/2023;5:30:00;5659,7;21,7;181,82;;18,54;18,54;807,54;;
14/1/2023;6:30:00;5659,7;21,7;181,82;;18,54;18,54;807,54;;
14/1/2023;7:30:00;5659,7;21,7;181,82;;18,54;18,54;807,54;;
14/1/2023;7:30:01;5659,7;21,7;181,82;;18,54;18,54;807,54;;
14/1/2023;8:30:00;5660;21,8;181,87;;18,55;18,55;807,55;;
14/1/2023;9:30:00;5659,7;21,8;182,22;;18,58;18,58;807,58;;
14/1/2023;10:30:00;5659,5;21,7;182,06;;18,56;18,56;807,56;;
14/1/2023;11:30:00;5659,7;21,7;181,82;;18,54;18,54;807,54;;
14/1/2023;12:30:00;5659,7;21,7;181,82;;18,54;18,54;807,54;;
14/1/2023;13:30:00;5660,1;21,7;181,36;;18,49;18,49;807,49;;
14/1/2023;13:30:01;5660,1;21,7;181,36;;18,49;18,49;807,49;;
14/1/2023;14:30:00;5660,2;21,7;181,24;;18,48;18,48;807,48;;
14/1/2023;15:30:00;5660,3;21,7;181,13;;18,47;18,47;807,47;;
14/1/2023;15:30:01;5660,3;21,7;181,13;;18,47;18,47;807,47;;
14/1/2023;16:30:00;5660,5;21,7;180,89;;18,45;18,45;807,45;;
14/1/2023;17:30:00;5660,2;21,7;181,24;;18,48;18,48;807,48;;
14/1/2023;18:30:00;5660,3;21,7;181,13;;18,47;18,47;807,47;;
14/1/2023;18:30:01;5660,3;21,7;181,13;;18,47;18,47;807,47;;
14/1/2023;19:30:00;5660,3;21,8;181,53;;18,51;18,51;807,51;;
14/1/2023;20:30:00;5660;21,7;181,48;;18,51;18,51;807,51;;
14/1/2023;21:30:00;5659,6;21,7;181,94;;18,55;18,55;807,55;;
14/1/2023;21:30:01;5659,6;21,7;181,94;;18,55;18,55;807,55;;
14/1/2023;22:30:00;5659,9;21,8;181,99;;18,56;18,56;807,56;;
14/1/2023;23:30:00;5659,9;21,8;181,99;;18,56;18,56;807,56;;
15/1/2023;0:30:00;5659,8;21,7;181,71;;18,53;18,53;807,53;;
15/1/2023;1:30:00;5659,6;21,7;181,94;;18,55;18,55;807,55;;
15/1/2023;1:30:01;5659,6;21,7;181,94;;18,55;18,55;807,55;;
15/1/2023;2:30:00;5659,9;21,8;181,99;;18,56;18,56;807,56;;
15/1/2023;2:30:01;5659,9;21,8;181,99;;18,56;18,56;807,56;;
15/1/2023;3:30:00;5659,9;21,7;181,59;;18,52;18,52;807,52;;
15/1/2023;3:30:01;5659,9;21,7;181,59;;18,52;18,52;807,52;;
15/1/2023;4:30:00;5660;21,7;181,48;;18,51;18,51;807,51;;
15/1/2023;4:30:01;5660;21,7;181,48;;18,51;18,51;807,51;;
15/1/2023;5:30:00;5660,2;21,7;181,24;;18,48;18,48;807,48;;
15/1/2023;6:30:00;5659,9;21,8;181,99;;18,56;18,56;807,56;;
15/1/2023;7:30:00;5659,7;21,7;181,82;;18,54;18,54;807,54;;
15/1/2023;8:30:00;5659,9;21,8;181,99;;18,56;18,56;807,56;;
15/1/2023;9:30:00;5659,9;21,7;181,59;;18,52;18,52;807,52;;
15/1/2023;9:30:01;5659,9;21,7;181,59;;18,52;18,52;807,52;;
15/1/2023;10:30:00;5659,9;21,7;181,59;;18,52;18,52;807,52;;
15/1/2023;10:30:01;5659,9;21,7;181,59;;18,52;18,52;807,52;;
15/1/2023;11:30:00;5660,1;21,7;181,36;;18,49;18,49;807,49;;
15/1/2023;12:30:00;5660;21,7;181,48;;18,51;18,51;807,51;;
15/1/2023;13:30:00;5660,3;21,7;181,13;;18,47;18,47;807,47;;
15/1/2023;13:30:01;5660,3;21,7;181,13;;18,47;18,47;807,47;;
15/1/2023;14:30:00;5660,2;21,8;181,64;;18,52;18,52;807,52;;
15/1/2023;14:30:01;5660,2;21,8;181,64;;18,52;18,52;807,52;;
15/1/2023;15:30:00;5660,1;21,7;181,36;;18,49;18,49;807,49;;
15/1/2023;15:30:01;5660,1;21,7;181,36;;18,49;18,49;807,49;;
15/1/2023;17:30:00;5660,1;21,7;181,36;;18,49;18,49;807,49;;
15/1/2023;18:30:00;5660,2;21,7;181,24;;18,48;18,48;807,48;;
15/1/2023;19:30:00;5660,3;21,7;181,13;;18,47;18,47;807,47;;
15/1/2023;20:30:00;5659,8;21,8;182,11;;18,57;18,57;807,57;;
15/1/2023;20:30:01;5659,8;21,8;182,11;;18,57;18,57;807,57;;
15/1/2023;21:30:00;5659,8;21,8;182,11;;18,57;18,57;807,57;;
15/1/2023;21:30:01;5659,8;21,8;182,11;;18,57;18,57;807,57;;
15/1/2023;22:30:00;5659,9;21,8;181,99;;18,56;18,56;807,56;;
15/1/2023;23:30:00;5659,5;21,7;182,06;;18,56;18,56;807,56;;
16/1/2023;0:30:00;5659,8;21,8;182,11;;18,57;18,57;807,57;;
16/1/2023;1:30:00;5660;21,7;181,48;;18,51;18,51;807,51;;
16/1/2023;2:30:00;5660;21,7;181,48;;18,51;18,51;807,51;;
16/1/2023;3:30:00;5660;21,7;181,48;;18,51;18,51;807,51;;
16/1/2023;3:30:01;5660;21,7;181,48;;18,51;18,51;807,51;;
16/1/2023;4:30:00;5660,1;21,7;181,36;;18,49;18,49;807,49;;
16/1/2023;5:30:00;5660,2;21,8;181,64;;18,52;18,52;807,52;;
16/1/2023;7:30:00;5660,2;21,7;181,24;;18,48;18,48;807,48;;
16/1/2023;8:30:00;5660,4;21,7;181,01;;18,46;18,46;807,46;;
16/1/2023;9:30:00;5660;21,8;181,87;;18,55;18,55;807,55;;
16/1/2023;10:30:00;5660,1;21,8;181,76;;18,53;18,53;807,53;;
16/1/2023;11:30:00;5660,3;21,7;181,13;;18,47;18,47;807,47;;
16/1/2023;12:30:00;5660,1;21,7;181,36;;18,49;18,49;807,49;;
16/1/2023;12:30:01;5660,1;21,7;181,36;;18,49;18,49;807,49;;
16/1/2023;13:30:00;5660,1;21,7;181,36;;18,49;18,49;807,49;;
16/1/2023;14:30:00;5660,2;21,7;181,24;;18,48;18,48;807,48;;
16/1/2023;15:30:00;5660;21,8;181,87;;18,55;18,55;807,55;;
16/1/2023;16:30:00;5660,8;21,7;180,55;;18,41;18,41;807,41;;
16/1/2023;17:30:00;5660,3;21,7;181,13;;18,47;18,47;807,47;;
16/1/2023;18:30:00;5660,7;21,8;181,06;;18,46;18,46;807,46;;
16/1/2023;18:30:01;5660,7;21,8;181,06;;18,46;18,46;807,46;;
16/1/2023;21:30:00;5660,3;21,8;181,53;;18,51;18,51;807,51;;
16/1/2023;22:30:00;5660,3;21,7;181,13;;18,47;18,47;807,47;;
16/1/2023;22:30:01;5660,3;21,7;181,13;;18,47;18,47;807,47;;
16/1/2023;23:30:00;5660,4;21,7;181,01;;18,46;18,46;807,46;;
16/1/2023;23:30:01;5660,4;21,7;181,01;;18,46;18,46;807,46;;
17/1/2023;0:30:00;5659,8;21,8;182,11;;18,57;18,57;807,57;;
17/1/2023;1:30:00;5660,4;21,8;181,41;;18,5;18,5;807,5;;
17/1/2023;2:30:00;5659,7;21,7;181,82;;18,54;18,54;807,54;;
17/1/2023;3:30:00;5660,4;21,7;181,01;;18,46;18,46;807,46;;
17/1/2023;4:30:00;5660;21,8;181,87;;18,55;18,55;807,55;;
17/1/2023;5:30:00;5660,4;21,8;181,41;;18,5;18,5;807,5;;
17/1/2023;6:30:00;5660,2;21,7;181,24;;18,48;18,48;807,48;;
17/1/2023;7:30:00;5660,1;21,8;181,76;;18,53;18,53;807,53;;
17/1/2023;8:30:00;5660,1;21,7;181,36;;18,49;18,49;807,49;;
17/1/2023;10:30:00;5660;21,8;181,87;;18,55;18,55;807,55;;
17/1/2023;10:30:01;5660;21,8;181,87;;18,55;18,55;807,55;;
17/1/2023;12:30:00;5660,4;21,7;181,01;;18,46;18,46;807,46;;
17/1/2023;13:30:00;5660,7;21,8;181,06;;18,46;18,46;807,46;;
17/1/2023;14:30:00;5660,2;21,7;181,24;;18,48;18,48;807,48;;
17/1/2023;15:30:00;5660,4;21,7;181,01;;18,46;18,46;807,46;;
17/1/2023;16:30:00;5660,5;21,7;180,89;;18,45;18,45;807,45;;
17/1/2023;17:30:00;5660,4;21,7;181,01;;18,46;18,46;807,46;;
17/1/2023;17:30:01;5660,4;21,7;181,01;;18,46;18,46;807,46;;
17/1/2023;18:30:00;5660,2;21,7;181,24;;18,48;18,48;807,48;;
17/1/2023;19:30:00;5660,1;21,7;181,36;;18,49;18,49;807,49;;
17/1/2023;20:30:00;5660,4;21,8;181,41;;18,5;18,5;807,5;;
17/1/2023;21:30:00;5660,4;21,8;181,41;;18,5;18,5;807,5;;
17/1/2023;22:30:00;5660;21,8;181,87;;18,55;18,55;807,55;;
17/1/2023;23:30:00;5659,9;21,7;181,59;;18,52;18,52;807,52;;
18/1/2023;0:30:00;5660,1;21,8;181,76;;18,53;18,53;807,53;;
18/1/2023;2:30:00;5660,2;21,7;181,24;;18,48;18,48;807,48;;
18/1/2023;3:30:00;5660,2;21,8;181,64;;18,52;18,52;807,52;;
18/1/2023;3:30:01;5660,2;21,8;181,64;;18,52;18,52;807,52;;
18/1/2023;4:30:00;5660,4;21,8;181,41;;18,5;18,5;807,5;;
18/1/2023;4:30:01;5660,4;21,8;181,41;;18,5;18,5;807,5;;
18/1/2023;5:30:00;5660,2;21,7;181,24;;18,48;18,48;807,48;;
18/1/2023;6:30:00;5660,4;21,7;181,01;;18,46;18,46;807,46;;
18/1/2023;7:30:00;5660,3;21,8;181,53;;18,51;18,51;807,51;;
18/1/2023;8:30:00;5660,1;21,8;181,76;;18,53;18,53;807,53;;
18/1/2023;9:30:00;5659,9;21,8;181,99;;18,56;18,56;807,56;;
18/1/2023;10:30:00;5660;21,7;181,48;;18,51;18,51;807,51;;
18/1/2023;11:30:00;5660,2;21,7;181,24;;18,48;18,48;807,48;;
18/1/2023;12:30:00;5660,2;21,8;181,64;;18,52;18,52;807,52;;
18/1/2023;13:30:00;5659,8;21,7;181,71;;18,53;18,53;807,53;;
18/1/2023;14:30:00;5660;21,7;181,48;;18,51;18,51;807,51;;
18/1/2023;15:30:00;5660,6;21,8;181,18;;18,48;18,48;807,48;;
18/1/2023;15:30:01;5660,6;21,8;181,18;;18,48;18,48;807,48;;
18/1/2023;16:30:00;5660,6;21,7;180,78;;18,43;18,43;807,43;;
18/1/2023;16:30:01;5660,6;21,7;180,78;;18,43;18,43;807,43;;
18/1/2023;17:30:00;5660,4;21,7;181,01;;18,46;18,46;807,46;;
18/1/2023;18:30:00;5660,7;21,7;180,66;;18,42;18,42;807,42;;
18/1/2023;19:30:00;5660,5;21,7;180,89;;18,45;18,45;807,45;;
18/1/2023;19:30:01;5660,5;21,7;180,89;;18,45;18,45;807,45;;
18/1/2023;20:30:00;5660,4;21,8;181,41;;18,5;18,5;807,5;;
18/1/2023;21:30:00;5660,3;21,7;181,13;;18,47;18,47;807,47;;
18/1/2023;21:30:01;5660,3;21,7;181,13;;18,47;18,47;807,47;;
18/1/2023;23:30:00;5660,5;21,7;180,89;;18,45;18,45;807,45;;
19/1/2023;0:30:00;5660,2;21,7;181,24;;18,48;18,48;807,48;;
19/1/2023;1:30:00;5660,4;21,7;181,01;;18,46;18,46;807,46;;
19/1/2023;2:30:00;5660,1;21,8;181,76;;18,53;18,53;807,53;;
19/1/2023;3:30:00;5660,2;21,8;181,64;;18,52;18,52;807,52;;
19/1/2023;4:30:00;5660,2;21,8;181,64;;18,52;18,52;807,52;;
19/1/2023;5:30:00;5660,5;21,7;180,89;;18,45;18,45;807,45;;
19/1/2023;6:30:00;5660,4;21,8;181,41;;18,5;18,5;807,5;;
19/1/2023;6:30:01;5660,4;21,8;181,41;;18,5;18,5;807,5;;
19/1/2023;7:30:00;5660,2;21,8;181,64;;18,52;18,52;807,52;;
19/1/2023;7:30:01;5660,2;21,8;181,64;;18,52;18,52;807,52;;
19/1/2023;8:30:00;5660,3;21,8;181,53;;18,51;18,51;807,51;;
19/1/2023;9:30:00;5660,3;21,7;181,13;;18,47;18,47;807,47;;
19/1/2023;10:30:00;5660,3;21,8;181,53;;18,51;18,51;807,51;;
19/1/2023;10:30:01;5660,3;21,8;181,53;;18,51;18,51;807,51;;
19/1/2023;11:30:00;5660,3;21,8;181,53;;18,51;18,51;807,51;;
19/1/2023;12:30:00;5660,2;21,8;181,64;;18,52;18,52;807,52;;
19/1/2023;13:30:00;5660,1;21,8;181,76;;18,53;18,53;807,53;;
19/1/2023;14:30:00;5660,4;21,7;181,01;;18,46;18,46;807,46;;
19/1/2023;15:30:00;5660,4;21,7;181,01;;18,46;18,46;807,46;;
19/1/2023;16:30:00;5660,4;21,7;181,01;;18,46;18,46;807,46;;
19/1/2023;17:30:00;5660,9;21,7;180,43;;18,4;18,4;807,4;;
19/1/2023;20:30:00;5660,1;21,8;181,76;;18,53;18,53;807,53;;
19/1/2023;21:30:00;5660,3;21,8;181,53;;18,51;18,51;807,51;;
19/1/2023;21:30:01;5660,3;21,8;181,53;;18,51;18,51;807,51;;
19/1/2023;22:30:00;5660,2;21,8;181,64;;18,52;18,52;807,52;;
19/1/2023;23:30:00;5660,4;21,8;181,41;;18,5;18,5;807,5;;
20/1/2023;0:30:00;5660;21,8;181,87;;18,55;18,55;807,55;;
20/1/2023;1:30:00;5660,3;21,8;181,53;;18,51;18,51;807,51;;
20/1/2023;2:30:00;5660,4;21,7;181,01;;18,46;18,46;807,46;;
20/1/2023;2:30:01;5660,4;21,7;181,01;;18,46;18,46;807,46;;
20/1/2023;3:30:00;5660,1;21,7;181,36;;18,49;18,49;807,49;;
20/1/2023;4:30:00;5660,4;21,8;181,41;;18,5;18,5;807,5;;
20/1/2023;5:30:00;5660,4;21,7;181,01;;18,46;18,46;807,46;;
